-------------------------------
T_j^H 	 T_j^L 	 CC_i'
25 	 41 	 834
26 	 41 	 834
27 	 41 	 840
28 	 41 	 844
29 	 41 	 844
30 	 41 	 850
31 	 41 	 850
32 	 41 	 854
33 	 41 	 854
34 	 41 	 860
35 	 41 	 860
36 	 41 	 864
37 	 41 	 864
38 	 41 	 864
39 	 41 	 870
10 	 42 	 689
11 	 42 	 709
12 	 42 	 729
13 	 42 	 745
14 	 42 	 760
15 	 42 	 770
16 	 42 	 780
17 	 42 	 789
18 	 42 	 799
19 	 42 	 805
20 	 42 	 814
21 	 42 	 820
22 	 42 	 824
23 	 42 	 830
24 	 42 	 834
25 	 42 	 840
26 	 42 	 840
27 	 42 	 844
28 	 42 	 850
29 	 42 	 850
30 	 42 	 854
31 	 42 	 854
32 	 42 	 860
33 	 42 	 860
34 	 42 	 864
35 	 42 	 864
36 	 42 	 870
37 	 42 	 870
38 	 42 	 870
39 	 42 	 874
40 	 42 	 874
10 	 43 	 689
11 	 43 	 709
12 	 43 	 729
13 	 43 	 745
14 	 43 	 760
15 	 43 	 770
16 	 43 	 780
17 	 43 	 789
18 	 43 	 799
19 	 43 	 805
20 	 43 	 814
21 	 43 	 820
22 	 43 	 824
23 	 43 	 830
24 	 43 	 834
25 	 43 	 840
26 	 43 	 840
27 	 43 	 844
28 	 43 	 850
29 	 43 	 850
30 	 43 	 854
31 	 43 	 854
32 	 43 	 860
33 	 43 	 860
34 	 43 	 864
35 	 43 	 864
36 	 43 	 870
37 	 43 	 870
38 	 43 	 870
39 	 43 	 874
40 	 43 	 874
41 	 43 	 874
10 	 44 	 689
11 	 44 	 709
12 	 44 	 729
13 	 44 	 745
14 	 44 	 760
15 	 44 	 770
16 	 44 	 780
17 	 44 	 789
18 	 44 	 799
19 	 44 	 805
20 	 44 	 814
21 	 44 	 820
22 	 44 	 824
23 	 44 	 830
24 	 44 	 834
25 	 44 	 840
26 	 44 	 840
27 	 44 	 844
28 	 44 	 850
29 	 44 	 850
30 	 44 	 854
31 	 44 	 854
32 	 44 	 860
33 	 44 	 860
34 	 44 	 864
35 	 44 	 864
36 	 44 	 870
37 	 44 	 870
38 	 44 	 870
39 	 44 	 874
40 	 44 	 874
41 	 44 	 874
42 	 44 	 879
